fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lam,n_frames,realised_f1,realised_payload
2021_08_22_13_37_16,18,400,10.0,2,0.5,,0.2,2970,0.9540479376971552,0.0006526936026936027
2021_08_22_22_01_17,18,400,10.0,2,0.5,,0.2,4444,0.943277348385612,0.0005185643564356436
2021_08_23_10_51_24,18,400,10.0,2,0.5,,0.2,1408,0.8543293948723913,0.0008924005681818181
2021_08_23_13_17_21,18,400,10.0,2,0.5,,0.2,1056,0.8614018613404714,0.000963778409090909
2021_08_23_19_42_07,18,400,10.0,2,0.5,,0.2,1254,0.8203324019423583,0.0007476076555023923
2021_09_09_19_27_35,18,400,10.0,2,0.5,,0.2,10098,0.6401144031661775,0.0012556941968706677
2021_09_11_00_33_16,18,400,10.0,2,0.5,,0.2,16412,0.8519736917777243,0.00025231537899098223
2021_08_20_21_48_35,19,400,10.0,2,0.5,,0.35,2464,0.87804291930255,0.0011266233766233768
2021_08_21_17_30_41,19,400,10.0,2,0.5,,0.35,3454,0.9016913802126237,0.0010295309785755648
2021_08_22_13_37_16,19,400,10.0,2,0.5,,0.35,2970,0.9544734058754669,0.0006813973063973063
2021_08_22_22_01_17,19,400,10.0,2,0.5,,0.35,4444,0.9432136468911827,0.0005133888388838885
2021_08_23_10_51_24,19,400,10.0,2,0.5,,0.35,1408,0.854328949929846,0.0008911576704545455
2021_08_23_13_17_21,19,400,10.0,2,0.5,,0.35,1056,0.8612645076712288,0.0009524147727272726
2021_08_23_19_42_07,19,400,10.0,2,0.5,,0.35,1254,0.8203024920768482,0.0007208931419457735
2021_09_09_19_27_35,19,400,10.0,2,0.5,,0.35,10098,0.640427123001409,0.001271118043176867
2021_09_11_00_33_16,19,400,10.0,2,0.5,,0.35,16412,0.8513882669673265,0.00019082074092127712
2021_08_20_21_48_35,20,400,10.0,2,0.5,,0.5,2464,0.8772002403880114,0.0010606737012987014
2021_08_21_17_30_41,20,400,10.0,2,0.5,,0.5,3454,0.9016913802126237,0.0010295309785755648
2021_08_22_13_37_16,20,400,10.0,2,0.5,,0.5,2970,0.9549947716230214,0.0007047979797979799
2021_08_22_22_01_17,20,400,10.0,2,0.5,,0.5,4444,0.9431429956123256,0.0005091134113411342
2021_08_23_10_51_24,20,400,10.0,2,0.5,,0.5,1408,0.8543198601279866,0.0008838778409090909
2021_08_23_13_17_21,20,400,10.0,2,0.5,,0.5,1056,0.8610402495521902,0.0009121685606060606
2021_08_23_19_42_07,20,400,10.0,2,0.5,,0.5,1254,0.8203049221790528,0.0006901913875598085
2021_09_09_19_27_35,20,400,10.0,2,0.5,,0.5,10098,0.640431819417851,0.0012653000594177067
2021_09_11_00_33_16,20,400,10.0,2,0.5,,0.5,16412,0.8500049801746083,8.358213502315379e-05
2021_08_20_21_48_35,21,400,10.0,2,0.5,balanced,0.0,2464,0.8894329240560209,1.6556635551948053
2021_08_21_17_30_41,21,400,10.0,2,0.5,balanced,0.0,3454,0.9141971571292392,1.8552490590619577
2021_08_22_13_37_16,21,400,10.0,2,0.5,balanced,0.0,2970,0.9613908717395507,1.0033810606060605
2021_08_22_22_01_17,21,400,10.0,2,0.5,balanced,0.0,4444,0.9498458368266084,1.1605365661566156
2021_08_23_10_51_24,21,400,10.0,2,0.5,balanced,0.0,1408,0.8652301883948273,1.1119895241477273
2021_08_23_13_17_21,21,400,10.0,2,0.5,balanced,0.0,1056,0.8698368881508785,1.1163998579545455
2021_08_23_19_42_07,21,400,10.0,2,0.5,balanced,0.0,1254,0.8216489680294783,1.1781054625199363
2021_09_09_19_27_35,21,400,10.0,2,0.5,balanced,0.0,10098,0.693152698508042,2.3612986977619337
2021_09_11_00_33_16,21,400,10.0,2,0.5,balanced,0.0,16412,0.880768066603668,2.0262605563002687
2021_08_20_21_48_35,22,400,10.0,2,0.5,balanced,0.02,2464,0.8820229368102657,0.37457508116883115
2021_08_21_17_30_41,22,400,10.0,2,0.5,balanced,0.02,3454,0.9085884210795714,0.645649609148813
2021_08_22_13_37_16,22,400,10.0,2,0.5,balanced,0.02,2970,0.9514386307061322,0.15598367003367003
2021_08_22_22_01_17,22,400,10.0,2,0.5,balanced,0.02,4444,0.9433087491143038,0.05217371737173718
2021_08_23_10_51_24,22,400,10.0,2,0.5,balanced,0.02,1408,0.8583196822479291,0.10585316051136363
2021_08_23_13_17_21,22,400,10.0,2,0.5,balanced,0.02,1056,0.8582631370777372,0.00983877840909091
2021_08_23_19_42_07,22,400,10.0,2,0.5,balanced,0.02,1254,0.8208685770150779,0.08843879585326954
2021_09_09_19_27_35,22,400,10.0,2,0.5,balanced,0.02,10098,0.6439607750771693,0.061129134482075666
2021_09_11_00_33_16,22,400,10.0,2,0.5,balanced,0.02,16412,0.8514193884589609,0.11868823117231295
2021_08_20_21_48_35,23,400,10.0,2,0.5,balanced,0.05,2464,0.878673155494903,0.03178977272727273
2021_08_21_17_30_41,23,400,10.0,2,0.5,balanced,0.05,3454,0.9016966989343308,0.0010443688477127968
2021_08_22_13_37_16,23,400,10.0,2,0.5,balanced,0.05,2970,0.9534813461257984,0.0006436868686868686
2021_08_22_22_01_17,23,400,10.0,2,0.5,balanced,0.05,4444,0.9433726182199941,0.0005549054905490549
2021_08_23_10_51_24,23,400,10.0,2,0.5,balanced,0.05,1408,0.8558655619242704,0.0009810014204545453
2021_08_23_13_17_21,23,400,10.0,2,0.5,balanced,0.05,1056,0.8581845663258325,0.0008255208333333334
2021_08_23_19_42_07,23,400,10.0,2,0.5,balanced,0.05,1254,0.8203916102351116,0.0007856858054226475
2021_09_09_19_27_35,23,400,10.0,2,0.5,balanced,0.05,10098,0.6404826424746861,0.001395226777579719
2021_09_11_00_33_16,23,400,10.0,2,0.5,balanced,0.05,16412,0.8626010466484508,0.001475429563733853
2021_08_20_21_48_35,24,400,10.0,2,0.5,balanced,0.1,2464,0.8780773205857278,0.0011617288961038965
2021_08_21_17_30_41,24,400,10.0,2,0.5,balanced,0.1,3454,0.9016914227533352,0.0010299652576722643
2021_08_22_13_37_16,24,400,10.0,2,0.5,balanced,0.1,2970,0.9551264077718886,0.0007047138047138047
2021_08_22_22_01_17,24,400,10.0,2,0.5,balanced,0.1,4444,0.9433666448687121,0.0005509113411341134
2021_08_23_10_51_24,24,400,10.0,2,0.5,balanced,0.1,1408,0.8543293948723913,0.0008924005681818181
2021_08_23_13_17_21,24,400,10.0,2,0.5,balanced,0.1,1056,0.8612790822508651,0.0009654356060606062
2021_08_23_19_42_07,24,400,10.0,2,0.5,balanced,0.1,1254,0.8202960658491716,0.0007410287081339712
2021_09_09_19_27_35,24,400,10.0,2,0.5,balanced,0.1,10098,0.6403596511609903,0.0013717815408991882
2021_09_11_00_33_16,24,400,10.0,2,0.5,balanced,0.1,16412,0.8679268452361573,0.0025085760419205467
2021_08_20_21_48_35,25,400,10.0,2,0.5,balanced,0.2,2464,0.8769212525286572,0.0010971996753246754
2021_08_21_17_30_41,25,400,10.0,2,0.5,balanced,0.2,3454,0.9016913802126237,0.0010295309785755648
2021_08_22_13_37_16,25,400,10.0,2,0.5,balanced,0.2,2970,0.9543907851164409,0.0006608585858585858
2021_08_22_22_01_17,25,400,10.0,2,0.5,balanced,0.2,4444,0.9432462634463797,0.0005168204320432044
2021_08_23_10_51_24,25,400,10.0,2,0.5,balanced,0.2,1408,0.854329369430198,0.0008911576704545455
2021_08_23_13_17_21,25,400,10.0,2,0.5,balanced,0.2,1056,0.8611440955755478,0.0009424715909090909
2021_08_23_19_42_07,25,400,10.0,2,0.5,balanced,0.2,1254,0.8202854914125364,0.0007410287081339712
2021_09_09_19_27_35,25,400,10.0,2,0.5,balanced,0.2,10098,0.6402457146217804,0.0012522034066151716
2021_09_11_00_33_16,25,400,10.0,2,0.5,balanced,0.2,16412,0.8608963593818051,0.0014319857421398975
2021_08_20_21_48_35,26,400,10.0,2,0.5,balanced,0.35,2464,0.8777009593740333,0.001109070616883117
