realisation,F1_2G,F1_RF,F1_tau,B_2G,B_RF,B_tau,dF_2G_RF,dB_2G_RF,dF_2G_tau,dB_2G_tau
122,0.8553843390405904,0.864126867010866,0.8610964799965841,0.024000000000000004,0.14522727272727273,0.20744242424242426,-0.008742527970275638,-0.12122727272727273,-0.005712140955993705,-0.18344242424242427
123,0.8553843390405904,0.8640202433132714,0.8603685070503152,0.024000000000000004,0.14572727272727273,0.2132969696969697,-0.008635904272681016,-0.12172727272727273,-0.004984168009724788,-0.1892969696969697
124,0.8553843390405904,0.8633859185535229,0.8604528322021511,0.024000000000000004,0.14132424242424244,0.21671212121212122,-0.008001579512932455,-0.11732424242424243,-0.005068493161560661,-0.19271212121212122
125,0.8553843390405904,0.8653118785119875,0.8618552386901878,0.024000000000000004,0.15737575757575759,0.2093939393939394,-0.009927539471397129,-0.1333757575757576,-0.00647089964959735,-0.18539393939393942
126,0.8553843390405904,0.8638588920496335,0.860132970677605,0.024000000000000004,0.13936060606060607,0.20793030303030302,-0.008474553009043095,-0.11536060606060607,-0.004748631637014555,-0.18393030303030303
127,0.8553843390405904,0.8651088471826409,0.8616488588938185,0.024000000000000004,0.1657060606060606,0.22695757575757575,-0.009724508142050503,-0.1417060606060606,-0.006264519853228068,-0.20295757575757575
128,0.8553843390405904,0.8658134112359877,0.8618108536415788,0.024000000000000004,0.1720727272727273,0.21720000000000003,-0.010429072195397238,-0.1480727272727273,-0.00642651460098842,-0.19320000000000004
129,0.8553843390405904,0.8638861274721616,0.8616049244678434,0.024000000000000004,0.14277575757575758,0.21622424242424243,-0.008501788431571233,-0.11877575757575758,-0.0062205854272530114,-0.19222424242424244
130,0.8553843390405904,0.8647726125594327,0.8604984963027784,0.024000000000000004,0.15693636363636365,0.21232121212121216,-0.009388273518842305,-0.13293636363636366,-0.005114157262188002,-0.18832121212121217
131,0.8553843390405904,0.8643162926760296,0.8614107902739944,0.024000000000000004,0.14763030303030303,0.21378484848484847,-0.008931953635439194,-0.12363030303030302,-0.006026451233403951,-0.18978484848484847
132,0.8553843390405904,0.8648940822187544,0.8622591633962957,0.024000000000000004,0.1549969696969697,0.2284212121212121,-0.009509743178163999,-0.1309969696969697,-0.0068748243557053,-0.20442121212121211
133,0.8553843390405904,0.8644232103966858,0.8616022606861545,0.024000000000000004,0.14960606060606063,0.21622424242424243,-0.00903887135609538,-0.12560606060606064,-0.006217921645564117,-0.19222424242424244
134,0.8553843390405904,0.8638676260800233,0.8608234257897249,0.024000000000000004,0.1462030303030303,0.20890606060606062,-0.008483287039432907,-0.1222030303030303,-0.005439086749134514,-0.18490606060606063
135,0.8553843390405904,0.8653027337834281,0.861624153319287,0.024000000000000004,0.16473030303030306,0.2211030303030303,-0.009918394742837733,-0.14073030303030307,-0.006239814278696576,-0.1971030303030303
136,0.8553843390405904,0.8648953700862683,0.8618365478713467,0.024000000000000004,0.15494848484848486,0.2181757575757576,-0.009511031045677854,-0.13094848484848487,-0.006452208830756256,-0.1941757575757576
137,0.8553843390405904,0.8648643717352427,0.8612399149652836,0.024000000000000004,0.15304545454545457,0.2196393939393939,-0.009480032694652252,-0.12904545454545457,-0.005855575924693213,-0.19563939393939392
138,0.8553843390405904,0.8637818675235026,0.8612400970838928,0.024000000000000004,0.14376363636363634,0.21915151515151515,-0.008397528482912198,-0.11976363636363634,-0.005855758043302406,-0.19515151515151516
139,0.8553843390405904,0.8646307828739548,0.8611385406192557,0.024000000000000004,0.15444848484848483,0.22695757575757577,-0.00924644383336437,-0.13044848484848484,-0.005754201578665241,-0.20295757575757578
140,0.8553843390405904,0.8644303878609648,0.8607694498598186,0.024000000000000004,0.15204545454545454,0.21183333333333335,-0.009046048820374408,-0.12804545454545455,-0.0053851108192282116,-0.18783333333333335
