rate,frame,ri,rj,cw_i,cw_j,dcw,f1_i,f1_j,df1
0.001,587,0,2,11,11,0,1.0,1.0,0.0
0.001,616,0,2,10,10,0,0.8205128205128205,0.8205128205128205,0.0
0.001,634,0,2,14,14,0,0.9523809523809524,0.9523809523809524,0.0
0.001,654,0,2,13,13,0,0.9787234042553192,0.9787234042553192,0.0
0.001,655,0,2,8,8,0,0.9787234042553192,0.9787234042553192,0.0
0.001,657,0,2,14,14,0,1.0,1.0,0.0
0.001,662,0,2,10,10,0,0.9333333333333332,0.9333333333333332,0.0
0.001,671,0,2,13,13,0,0.8387096774193548,0.8387096774193548,0.0
0.001,684,0,2,14,14,0,0.9444444444444444,0.9444444444444444,0.0
0.001,685,0,2,12,12,0,0.9142857142857144,0.9142857142857144,0.0
0.001,689,0,2,12,12,0,0.8749999999999999,0.8749999999999999,0.0
0.001,691,0,2,10,10,0,0.9333333333333332,0.9333333333333332,0.0
0.001,719,0,2,11,11,0,0.9523809523809524,0.9523809523809524,0.0
0.001,722,0,2,15,15,0,0.9523809523809524,0.9523809523809524,0.0
0.001,730,0,2,15,15,0,0.9090909090909092,0.9090909090909092,0.0
0.001,736,0,2,17,17,0,0.9473684210526316,0.9473684210526316,0.0
0.001,745,0,2,15,15,0,0.7272727272727272,0.7272727272727272,0.0
0.001,782,0,2,14,14,0,0.7999999999999999,0.7999999999999999,0.0
0.001,798,0,2,15,15,0,0.7999999999999999,0.7999999999999999,0.0
0.001,803,0,2,12,12,0,0.8444444444444444,0.8444444444444444,0.0
0.001,810,0,2,12,12,0,0.9047619047619048,0.8571428571428571,0.04761904761904767
0.001,827,0,2,19,19,0,0.8163265306122449,0.8163265306122449,0.0
0.001,840,0,2,11,11,0,0.84,0.84,0.0
0.001,847,0,2,12,12,0,0.7857142857142857,0.7857142857142857,0.0
0.001,870,0,2,10,10,0,0.816326530612245,0.816326530612245,0.0
0.001,880,0,2,14,14,0,0.8085106382978724,0.8333333333333333,-0.024822695035460862
0.001,895,0,2,13,13,0,0.7755102040816326,0.7755102040816326,0.0
0.001,898,0,2,14,14,0,0.7391304347826088,0.7391304347826088,0.0
0.001,901,0,2,15,15,0,0.782608695652174,0.8085106382978724,-0.02590194264569845
0.001,902,0,2,16,16,0,0.8571428571428572,0.8571428571428572,0.0
0.001,905,0,2,9,9,0,0.8085106382978724,0.8085106382978724,0.0
0.001,942,0,2,14,14,0,0.909090909090909,0.909090909090909,0.0
0.001,978,0,2,9,9,0,0.761904761904762,0.761904761904762,0.0
0.001,989,0,2,13,13,0,0.7755102040816326,0.7755102040816326,0.0
0.001,992,0,2,12,12,0,0.7906976744186046,0.7906976744186046,0.0
0.001,999,0,2,13,13,0,0.7999999999999999,0.7999999999999999,0.0
0.001,1007,0,2,15,15,0,0.8181818181818182,0.8181818181818182,0.0
0.001,1014,0,2,12,12,0,0.8085106382978724,0.8085106382978724,0.0
0.001,1052,0,2,11,11,0,0.6521739130434783,0.6521739130434783,0.0
0.001,1057,0,2,12,12,0,0.6222222222222222,0.6222222222222222,0.0
0.001,1060,0,2,15,15,0,0.7272727272727272,0.7272727272727272,0.0
0.001,1061,0,2,10,10,0,0.6818181818181819,0.6818181818181819,0.0
0.001,1064,0,2,10,10,0,0.782608695652174,0.782608695652174,0.0
0.001,1078,0,2,9,9,0,0.7727272727272727,0.7727272727272727,0.0
0.001,1088,0,2,14,14,0,0.7317073170731708,0.7317073170731708,0.0
0.001,1090,0,2,12,12,0,0.75,0.75,0.0
0.001,1095,0,2,12,12,0,0.8717948717948718,0.8717948717948718,0.0
0.001,1103,0,2,11,11,0,0.8333333333333334,0.8333333333333334,0.0
0.001,1109,0,2,13,13,0,0.8108108108108109,0.8108108108108109,0.0
0.001,1168,0,2,13,13,0,0.717948717948718,0.717948717948718,0.0
0.001,1173,0,2,10,10,0,0.8333333333333334,0.8333333333333334,0.0
0.001,1230,0,2,10,10,0,0.7894736842105262,0.7894736842105262,0.0
0.001,1241,0,2,9,9,0,0.8723404255319149,0.8723404255319149,0.0
0.001,1243,0,2,9,9,0,0.8791208791208791,0.8791208791208791,0.0
0.001,1263,0,2,12,12,0,0.8085106382978723,0.8085106382978723,0.0
0.001,1269,0,2,11,11,0,0.845360824742268,0.845360824742268,0.0
0.001,1273,0,2,15,15,0,0.875,0.875,0.0
0.001,1329,0,2,12,12,0,0.9090909090909092,0.8979591836734694,0.011131725417439786
0.001,1374,0,2,10,10,0,0.8631578947368421,0.8631578947368421,0.0
0.001,1384,0,2,10,10,0,0.8979591836734694,0.8979591836734694,0.0
0.001,1412,0,2,9,9,0,0.9292929292929292,0.9292929292929292,0.0
0.001,1423,0,2,13,13,0,0.9387755102040816,0.9494949494949496,-0.01071943929086805
0.001,1461,0,2,11,11,0,0.9072164948453608,0.9072164948453608,0.0
0.001,1469,0,2,16,16,0,0.9108910891089108,0.9108910891089108,0.0
0.001,1483,0,2,10,10,0,0.9166666666666666,0.9166666666666666,0.0
0.001,1485,0,2,12,12,0,0.9183673469387756,0.9183673469387756,0.0
0.001,1489,0,2,10,10,0,0.9278350515463918,0.9278350515463918,0.0
0.001,1504,0,2,11,11,0,0.9473684210526316,0.9473684210526316,0.0
0.001,1505,0,2,12,12,0,0.9375,0.9375,0.0
0.001,1541,0,2,12,12,0,0.9462365591397848,0.9462365591397848,0.0
0.001,1544,0,2,12,12,0,0.924731182795699,0.924731182795699,0.0
0.001,1550,0,2,12,12,0,0.9361702127659574,0.9361702127659574,0.0
0.001,1554,0,2,13,13,0,0.945054945054945,0.945054945054945,0.0
0.001,1568,0,2,14,14,0,0.8888888888888888,0.8888888888888888,0.0
0.001,1577,0,2,11,11,0,0.853932584269663,0.853932584269663,0.0
0.001,1598,0,2,11,11,0,0.9135802469135802,0.9135802469135802,0.0
0.001,1612,0,2,12,12,0,0.9367088607594936,0.9367088607594936,0.0
0.001,1683,0,2,10,10,0,0.9142857142857144,0.9142857142857144,0.0
0.001,1717,0,2,13,13,0,0.9428571428571428,0.9428571428571428,0.0
0.001,1720,0,2,15,15,0,0.9014084507042254,0.9014084507042254,0.0
0.001,1721,0,2,12,12,0,0.9577464788732396,0.9577464788732396,0.0
0.001,1730,0,2,8,8,0,0.9565217391304348,0.9565217391304348,0.0
0.001,1771,0,2,11,11,0,0.9117647058823528,0.9117647058823528,0.0
0.001,1786,0,2,11,11,0,0.9428571428571428,0.9428571428571428,0.0
0.001,1802,0,2,17,17,0,0.9565217391304348,0.9565217391304348,0.0
0.001,1819,0,2,9,9,0,0.9444444444444444,0.9444444444444444,0.0
0.001,1857,0,2,10,10,0,0.9166666666666666,0.9166666666666666,0.0
0.001,1861,0,2,12,12,0,0.9473684210526316,0.9473684210526316,0.0
0.001,1863,0,2,7,7,0,0.9014084507042254,0.9014084507042254,0.0
0.001,1877,0,2,7,7,0,0.9295774647887324,0.9295774647887324,0.0
0.001,1878,0,2,12,12,0,0.9295774647887324,0.9295774647887324,0.0
0.001,1913,0,2,14,14,0,0.9230769230769232,0.9113924050632912,0.011684518013632017
0.001,1916,0,2,8,8,0,0.9610389610389612,0.9610389610389612,0.0
0.001,1930,0,2,15,15,0,0.9268292682926828,0.9268292682926828,0.0
0.001,1945,0,2,14,14,0,0.935064935064935,0.935064935064935,0.0
0.001,1960,0,2,15,15,0,0.9315068493150684,0.9315068493150684,0.0
0.001,1964,0,2,18,18,0,0.9315068493150684,0.9315068493150684,0.0
0.001,26,0,3,14,14,0,0.896551724137931,0.896551724137931,0.0
0.001,38,0,3,17,17,0,0.888888888888889,0.888888888888889,0.0
0.001,57,0,3,10,10,0,0.9454545454545454,0.9454545454545454,0.0
0.001,59,0,3,8,8,0,0.962962962962963,0.962962962962963,0.0
0.001,65,0,3,12,12,0,0.962962962962963,0.962962962962963,0.0
0.001,104,0,3,12,12,0,0.9411764705882352,0.9411764705882352,0.0
0.001,118,0,3,10,10,0,0.9583333333333334,0.9583333333333334,0.0
0.001,143,0,3,14,14,0,0.96,0.96,0.0
0.001,165,0,3,14,14,0,1.0,1.0,0.0
0.001,223,0,3,17,17,0,0.9444444444444444,0.9444444444444444,0.0
0.001,224,0,3,13,13,0,0.9142857142857144,0.9142857142857144,0.0
0.001,252,0,3,12,12,0,0.88,0.88,0.0
0.001,285,0,3,12,12,0,0.9166666666666666,0.9166666666666666,0.0
0.001,290,0,3,11,11,0,1.0,1.0,0.0
0.001,293,0,3,14,14,0,1.0,1.0,0.0
0.001,301,0,3,11,11,0,1.0,1.0,0.0
0.001,306,0,3,14,14,0,1.0,1.0,0.0
0.001,339,0,3,13,13,0,1.0,1.0,0.0
0.001,357,0,3,10,10,0,1.0,1.0,0.0
0.001,360,0,3,14,14,0,1.0,1.0,0.0
0.001,362,0,3,18,18,0,1.0,1.0,0.0
