split,budget,channel,snr_db,policy,f1,payload_msym,n_frames,bler_F,lambda_star,rho_E,rho_L,rho_F
validate,0.1,rayleigh,10.0,oracle_masked,0.8558609717171717,0.023612121212121213,1980,1.0,0.05,0.01616161616161616,0.9838383838383838,0.0
validate,0.1,rayleigh,10.0,oracle_lambda,0.855860807070707,0.0236,1980,1.0,0.05,0.016666666666666666,0.9833333333333333,0.0
validate,0.1,rayleigh,10.0,catosg,0.8558080656565655,0.023721212121212122,1980,1.0,0.05,0.011616161616161616,0.9883838383838384,0.0
validate,0.1,rayleigh,12.0,fixed_L,0.855384348989899,0.024000000000000004,1980,1.0,0.05,,,
validate,0.1,rayleigh,12.0,fixed_F,0.7358345641414141,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,rayleigh,12.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,rayleigh,12.0,oracle_masked,0.8558609717171717,0.023612121212121213,1980,1.0,0.05,0.01616161616161616,0.9838383838383838,0.0
validate,0.1,rayleigh,12.0,oracle_lambda,0.855860807070707,0.0236,1980,1.0,0.05,0.016666666666666666,0.9833333333333333,0.0
validate,0.1,rayleigh,12.0,catosg,0.8558080656565655,0.023721212121212122,1980,1.0,0.05,0.011616161616161616,0.9883838383838384,0.0
validate,0.1,rayleigh,14.0,fixed_L,0.855384348989899,0.024000000000000004,1980,1.0,0.05,,,
validate,0.1,rayleigh,14.0,fixed_F,0.7358345641414141,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,rayleigh,14.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,rayleigh,14.0,oracle_masked,0.8558609717171717,0.023612121212121213,1980,1.0,0.05,0.01616161616161616,0.9838383838383838,0.0
validate,0.1,rayleigh,14.0,oracle_lambda,0.855860807070707,0.0236,1980,1.0,0.05,0.016666666666666666,0.9833333333333333,0.0
validate,0.1,rayleigh,14.0,catosg,0.8558080656565655,0.023721212121212122,1980,1.0,0.05,0.011616161616161616,0.9883838383838384,0.0
validate,0.1,rayleigh,16.0,fixed_L,0.855384348989899,0.024000000000000004,1980,1.0,0.05,,,
validate,0.1,rayleigh,16.0,fixed_F,0.7358345641414141,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,rayleigh,16.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,rayleigh,16.0,oracle_masked,0.8558609717171717,0.023612121212121213,1980,1.0,0.05,0.01616161616161616,0.9838383838383838,0.0
validate,0.1,rayleigh,16.0,oracle_lambda,0.855860807070707,0.0236,1980,1.0,0.05,0.016666666666666666,0.9833333333333333,0.0
validate,0.1,rayleigh,16.0,catosg,0.8558080656565655,0.023721212121212122,1980,1.0,0.05,0.011616161616161616,0.9883838383838384,0.0
validate,0.1,rayleigh,18.0,fixed_L,0.855384348989899,0.024000000000000004,1980,1.0,0.05,,,
validate,0.1,rayleigh,18.0,fixed_F,0.7358345641414141,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,rayleigh,18.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,rayleigh,18.0,oracle_masked,0.8558609717171717,0.023612121212121213,1980,1.0,0.05,0.01616161616161616,0.9838383838383838,0.0
validate,0.1,rayleigh,18.0,oracle_lambda,0.855860807070707,0.0236,1980,1.0,0.05,0.016666666666666666,0.9833333333333333,0.0
validate,0.1,rayleigh,18.0,catosg,0.8558080656565655,0.023721212121212122,1980,1.0,0.05,0.011616161616161616,0.9883838383838384,0.0
validate,0.1,rayleigh,20.0,fixed_L,0.855384348989899,0.024000000000000004,1980,1.0,0.05,,,
validate,0.1,rayleigh,20.0,fixed_F,0.7358345641414141,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,rayleigh,20.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,rayleigh,20.0,oracle_masked,0.8558609717171717,0.023612121212121213,1980,1.0,0.05,0.01616161616161616,0.9838383838383838,0.0
