split,budget,policy,ap30_mean,ap30_std,ap50_mean,ap50_std,ap70_mean,ap70_std,n_realisations,snr_db,channel,rho_E,rho_L,rho_F,bler_F
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,16.0,rayleigh,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,16.0,rayleigh,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,16.0,rayleigh,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,16.0,rayleigh,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,16.0,rayleigh,0.0,1.0,0.0,1.0
test,0.1,CA-TOSG-RF,0.9233,0.0,0.9187,0.0,0.8685,0.0,200,18.0,rayleigh,0.005990783410138249,0.9940092165898617,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,18.0,rayleigh,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,18.0,rayleigh,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,18.0,rayleigh,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,18.0,rayleigh,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,18.0,rayleigh,0.0,1.0,0.0,1.0
test,0.1,CA-TOSG-RF,0.9233,0.0,0.9187,0.0,0.8685,0.0,200,20.0,rayleigh,0.005529953917050691,0.9944700460829493,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,20.0,rayleigh,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,20.0,rayleigh,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,20.0,rayleigh,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,20.0,rayleigh,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,20.0,rayleigh,0.0,1.0,0.0,1.0
culver,0.1,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,0.0,awgn,0.0,1.0,0.0,1.0
culver,0.1,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,0.0,awgn,0.0,1.0,0.0,1.0
culver,0.2,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,0.0,awgn,0.0,1.0,0.0,1.0
culver,0.2,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,0.0,awgn,0.0,1.0,0.0,1.0
culver,0.3,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,0.0,awgn,0.0,1.0,0.0,1.0
culver,0.3,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,0.0,awgn,0.0,1.0,0.0,1.0
culver,0.1,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,2.0,awgn,0.0,1.0,0.0,1.0
culver,0.1,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,2.0,awgn,0.0,1.0,0.0,1.0
