qam,channel,esno_db,bler_cw,k,harq,n_cw_per_fragment,q_fragment,bler_frame,payload_factor,feasible
16,rayleigh,15.0,0.1305,4,1,990,1.0,1.0,2.0,False
16,rayleigh,15.5,0.1215,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,15.5,0.1215,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,15.5,0.1215,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,15.5,0.1215,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,15.5,0.1215,4,0,990,1.0,1.0,1.0,False
16,rayleigh,15.5,0.1215,4,1,990,1.0,1.0,2.0,False
16,rayleigh,16.0,0.1045,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,16.0,0.1045,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,16.0,0.1045,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,16.0,0.1045,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,16.0,0.1045,4,0,990,1.0,1.0,1.0,False
16,rayleigh,16.0,0.1045,4,1,990,1.0,1.0,2.0,False
16,rayleigh,16.5,0.0895,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,16.5,0.0895,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,16.5,0.0895,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,16.5,0.0895,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,16.5,0.0895,4,0,990,1.0,1.0,1.0,False
16,rayleigh,16.5,0.0895,4,1,990,1.0,1.0,2.0,False
16,rayleigh,17.0,0.075,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,17.0,0.075,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,17.0,0.075,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,17.0,0.075,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,17.0,0.075,4,0,990,1.0,1.0,1.0,False
16,rayleigh,17.0,0.075,4,1,990,1.0,1.0,2.0,False
16,rayleigh,17.5,0.069,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,17.5,0.069,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,17.5,0.069,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,17.5,0.069,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,17.5,0.069,4,0,990,1.0,1.0,1.0,False
16,rayleigh,17.5,0.069,4,1,990,1.0,1.0,2.0,False
16,rayleigh,18.0,0.0595,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,18.0,0.0595,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,18.0,0.0595,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,18.0,0.0595,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,18.0,0.0595,4,0,990,1.0,1.0,1.0,False
16,rayleigh,18.0,0.0595,4,1,990,1.0,1.0,2.0,False
16,rayleigh,18.5,0.0645,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,18.5,0.0645,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,18.5,0.0645,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,18.5,0.0645,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,18.5,0.0645,4,0,990,1.0,1.0,1.0,False
16,rayleigh,18.5,0.0645,4,1,990,1.0,1.0,2.0,False
16,rayleigh,19.0,0.0525,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,19.0,0.0525,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,19.0,0.0525,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,19.0,0.0525,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,19.0,0.0525,4,0,990,1.0,1.0,1.0,False
16,rayleigh,19.0,0.0525,4,1,990,1.0,1.0,2.0,False
16,rayleigh,19.5,0.04925,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,19.5,0.04925,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,19.5,0.04925,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,19.5,0.04925,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,19.5,0.04925,4,0,990,1.0,1.0,1.0,False
16,rayleigh,19.5,0.04925,4,1,990,1.0,1.0,2.0,False
16,rayleigh,20.0,0.04,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,20.0,0.04,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,20.0,0.04,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,20.0,0.04,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,20.0,0.04,4,0,990,1.0,1.0,1.0,False
16,rayleigh,20.0,0.04,4,1,990,1.0,1.0,2.0,False
16,rayleigh,20.5,0.036,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,20.5,0.036,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,20.5,0.036,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,20.5,0.036,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,20.5,0.036,4,0,990,1.0,1.0,1.0,False
16,rayleigh,20.5,0.036,4,1,990,1.0,1.0,2.0,False
16,rayleigh,21.0,0.0395,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,21.0,0.0395,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,21.0,0.0395,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,21.0,0.0395,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,21.0,0.0395,4,0,990,1.0,1.0,1.0,False
16,rayleigh,21.0,0.0395,4,1,990,1.0,1.0,2.0,False
