fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,n_frames,realised_f1,realised_payload
2021_08_23_13_17_21,19,400,10.0,2,0.5,,0.35,48,0.91825,0.024
2021_08_23_19_42_07,19,400,10.0,2,0.5,,0.35,57,0.800953,0.024
2021_09_09_19_27_35,19,400,10.0,2,0.5,,0.35,459,0.744719,0.024
2021_09_11_00_33_16,19,400,10.0,2,0.5,,0.35,746,0.85763,0.023678
2021_08_20_21_48_35,20,400,10.0,2,0.5,,0.5,112,0.85276,0.023571
2021_08_21_17_30_41,20,400,10.0,2,0.5,,0.5,157,0.882277,0.024
2021_08_22_13_37_16,20,400,10.0,2,0.5,,0.5,135,0.971686,0.024
2021_08_22_22_01_17,20,400,10.0,2,0.5,,0.5,202,0.890998,0.0
2021_08_23_10_51_24,20,400,10.0,2,0.5,,0.5,64,0.886513,0.024
2021_08_23_13_17_21,20,400,10.0,2,0.5,,0.5,48,0.91825,0.024
2021_08_23_19_42_07,20,400,10.0,2,0.5,,0.5,57,0.800953,0.024
2021_09_09_19_27_35,20,400,10.0,2,0.5,,0.5,459,0.744719,0.024
2021_09_11_00_33_16,20,400,10.0,2,0.5,,0.5,746,0.858368,0.023936
2021_08_20_21_48_35,21,400,10.0,2,0.5,balanced,0.0,112,0.871837,0.287455
2021_08_21_17_30_41,21,400,10.0,2,0.5,balanced,0.0,157,0.892596,0.27403
2021_08_22_13_37_16,21,400,10.0,2,0.5,balanced,0.0,135,0.975003,0.239317
2021_08_22_22_01_17,21,400,10.0,2,0.5,balanced,0.0,202,0.9873,0.043781
2021_08_23_10_51_24,21,400,10.0,2,0.5,balanced,0.0,64,0.893436,0.297746
2021_08_23_13_17_21,21,400,10.0,2,0.5,balanced,0.0,48,0.918441,0.313068
2021_08_23_19_42_07,21,400,10.0,2,0.5,balanced,0.0,57,0.816587,0.29901
2021_09_09_19_27_35,21,400,10.0,2,0.5,balanced,0.0,459,0.742867,0.266791
2021_09_11_00_33_16,21,400,10.0,2,0.5,balanced,0.0,746,0.859294,0.094157
2021_08_20_21_48_35,22,400,10.0,2,0.5,balanced,0.02,112,0.871837,0.287455
2021_08_21_17_30_41,22,400,10.0,2,0.5,balanced,0.02,157,0.892165,0.262843
2021_08_22_13_37_16,22,400,10.0,2,0.5,balanced,0.02,135,0.974696,0.253303
2021_08_22_22_01_17,22,400,10.0,2,0.5,balanced,0.02,202,0.986466,0.092472
2021_08_23_10_51_24,22,400,10.0,2,0.5,balanced,0.02,64,0.894056,0.273047
2021_08_23_13_17_21,22,400,10.0,2,0.5,balanced,0.02,48,0.919446,0.287455
2021_08_23_19_42_07,22,400,10.0,2,0.5,balanced,0.02,57,0.816332,0.278211
2021_09_09_19_27_35,22,400,10.0,2,0.5,balanced,0.02,459,0.743752,0.261434
2021_09_11_00_33_16,22,400,10.0,2,0.5,balanced,0.02,746,0.856345,0.023346
2021_08_20_21_48_35,23,400,10.0,2,0.5,balanced,0.05,112,0.868267,0.223943
2021_08_21_17_30_41,23,400,10.0,2,0.5,balanced,0.05,157,0.882277,0.024
2021_08_22_13_37_16,23,400,10.0,2,0.5,balanced,0.05,135,0.971686,0.035709
2021_08_22_22_01_17,23,400,10.0,2,0.5,balanced,0.05,202,0.986983,0.237459
2021_08_23_10_51_24,23,400,10.0,2,0.5,balanced,0.05,64,0.893739,0.213358
2021_08_23_13_17_21,23,400,10.0,2,0.5,balanced,0.05,48,0.919446,0.287455
2021_08_23_19_42_07,23,400,10.0,2,0.5,balanced,0.05,57,0.810108,0.222746
2021_09_09_19_27_35,23,400,10.0,2,0.5,balanced,0.05,459,0.743516,0.073745
2021_09_11_00_33_16,23,400,10.0,2,0.5,balanced,0.05,746,0.852794,0.022293
2021_08_20_21_48_35,24,400,10.0,2,0.5,balanced,0.1,112,0.854441,0.033409
2021_08_21_17_30_41,24,400,10.0,2,0.5,balanced,0.1,157,0.882715,0.047493
2021_08_22_13_37_16,24,400,10.0,2,0.5,balanced,0.1,135,0.971686,0.024
2021_08_22_22_01_17,24,400,10.0,2,0.5,balanced,0.1,202,0.98737,0.024
2021_08_23_10_51_24,24,400,10.0,2,0.5,balanced,0.1,64,0.888844,0.072712
