frame,n_cav,has_collab,n_box_p0.0,f1_p0.0,n_box_p0.001,f1_p0.001,lost_elem_frac_p0.001,lost_cw_p0.001,n_box_p0.01,f1_p0.01,lost_elem_frac_p0.01,lost_cw_p0.01,n_box_p0.05,f1_p0.05,lost_elem_frac_p0.05,lost_cw_p0.05,n_box_p0.1,f1_p0.1,lost_elem_frac_p0.1,lost_cw_p0.1,n_box_p0.25,f1_p0.25,lost_elem_frac_p0.25,lost_cw_p0.25,n_box_p0.5,f1_p0.5,lost_elem_frac_p0.5,lost_cw_p0.5
75,2,1,22,0.88,22,0.88,0.000775,11,22,0.88,0.008263,103,23,0.9019607843137255,0.052723,656,22,0.88,0.097436,1219,23,0.9019607843137255,0.250047,3113,24,0.8846153846153847,0.496982,6232
76,2,1,26,0.9259259259259259,26,0.9259259259259259,0.001247,15,25,0.9056603773584904,0.008034,99,25,0.9433962264150945,0.049598,624,25,0.9433962264150945,0.102764,1290,25,0.9433962264150945,0.254159,3190,26,0.888888888888889,0.501173,6283
77,2,1,26,0.962962962962963,26,0.962962962962963,0.000651,8,26,0.962962962962963,0.011193,135,26,0.962962962962963,0.050277,630,25,0.9433962264150945,0.102777,1286,24,0.923076923076923,0.24669,3091,26,0.8148148148148148,0.504766,6305
78,2,1,25,0.9433962264150945,25,0.9433962264150945,0.000821,10,25,0.9433962264150945,0.011886,144,25,0.9433962264150945,0.049769,629,25,0.9433962264150945,0.095695,1211,25,0.9433962264150945,0.256809,3208,25,0.9056603773584904,0.50752,6365
79,2,1,25,0.9433962264150945,25,0.9433962264150945,0.000426,5,25,0.9433962264150945,0.01076,135,24,0.923076923076923,0.05321,654,25,0.9433962264150945,0.102185,1274,26,0.962962962962963,0.246437,3085,25,0.9056603773584904,0.506705,6341
80,2,1,24,0.923076923076923,24,0.923076923076923,0.001139,15,24,0.923076923076923,0.008621,108,26,0.962962962962963,0.049671,617,26,0.962962962962963,0.107715,1352,20,0.8333333333333333,0.25207,3137,22,0.84,0.493149,6175
81,2,1,23,0.9019607843137255,23,0.9019607843137255,0.000511,6,23,0.9019607843137255,0.011726,144,23,0.9019607843137255,0.051667,647,23,0.9019607843137255,0.097952,1222,19,0.8085106382978724,0.260863,3258,22,0.88,0.500498,6264
82,2,1,23,0.92,23,0.92,0.001085,14,23,0.92,0.010473,130,23,0.92,0.0492,611,23,0.92,0.099632,1240,22,0.8979591836734693,0.249535,3114,22,0.8571428571428572,0.497528,6212
83,2,1,22,0.88,22,0.88,0.001247,15,22,0.88,0.010778,136,22,0.88,0.051205,635,23,0.9019607843137255,0.101531,1255,20,0.8333333333333333,0.249321,3102,22,0.88,0.500747,6273
84,2,1,22,0.88,22,0.88,0.001054,14,22,0.88,0.011032,138,21,0.8571428571428571,0.04955,621,22,0.88,0.104374,1293,21,0.8571428571428571,0.255022,3179,23,0.7843137254901961,0.503166,6317
85,2,1,24,0.923076923076923,24,0.923076923076923,0.000705,9,24,0.923076923076923,0.010381,127,25,0.9433962264150945,0.049298,620,24,0.923076923076923,0.097013,1213,24,0.8846153846153847,0.252192,3160,22,0.84,0.496782,6210
86,2,1,23,0.9019607843137255,23,0.9019607843137255,0.00096,12,23,0.9019607843137255,0.010863,132,23,0.9019607843137255,0.049982,618,22,0.88,0.101585,1276,21,0.8571428571428571,0.261265,3267,21,0.8163265306122449,0.511043,6391
87,2,1,21,0.8571428571428571,21,0.8571428571428571,0.001333,16,21,0.8571428571428571,0.010482,128,21,0.8571428571428571,0.048651,618,21,0.8571428571428571,0.09745,1219,21,0.8571428571428571,0.250593,3133,20,0.7916666666666667,0.496801,6204
88,2,1,19,0.8085106382978724,19,0.8085106382978724,0.001255,17,19,0.8085106382978724,0.010706,131,19,0.8085106382978724,0.051289,634,19,0.8085106382978724,0.101189,1254,19,0.7659574468085106,0.253605,3174,19,0.7659574468085106,0.503842,6321
89,2,1,21,0.8571428571428571,21,0.8571428571428571,0.001472,19,20,0.8333333333333333,0.009352,117,20,0.8333333333333333,0.053103,658,19,0.8085106382978724,0.100778,1256,21,0.8163265306122449,0.249923,3145,19,0.8085106382978724,0.499508,6275
90,2,1,19,0.8085106382978724,19,0.8085106382978724,0.000565,8,19,0.8085106382978724,0.011824,145,19,0.8085106382978724,0.048224,604,18,0.782608695652174,0.102865,1291,18,0.7391304347826088,0.254111,3177,18,0.782608695652174,0.494399,6170
91,2,1,21,0.8510638297872339,21,0.8510638297872339,0.000937,11,20,0.8260869565217392,0.010542,129,22,0.875,0.055215,691,21,0.8936170212765957,0.101281,1255,20,0.8695652173913044,0.248596,3095,18,0.8181818181818181,0.498596,6245
92,2,1,21,0.8750000000000001,21,0.8750000000000001,0.001449,18,21,0.8750000000000001,0.010189,131,21,0.8750000000000001,0.048525,598,21,0.8750000000000001,0.101362,1266,20,0.851063829787234,0.249702,3108,19,0.8260869565217391,0.501272,6279
93,2,1,21,0.8750000000000001,21,0.8750000000000001,0.000597,7,21,0.8750000000000001,0.010978,136,21,0.8750000000000001,0.052642,656,22,0.8979591836734693,0.097718,1216,21,0.8750000000000001,0.254068,3185,18,0.7555555555555556,0.499564,6233
94,2,1,21,0.8333333333333334,21,0.8333333333333334,0.000969,12,21,0.8333333333333334,0.009499,124,22,0.8163265306122449,0.052197,649,22,0.8571428571428572,0.099624,1238,21,0.8333333333333334,0.255502,3190,18,0.7555555555555556,0.510157,6382
95,2,1,20,0.8695652173913044,20,0.8695652173913044,0.001162,14,20,0.8695652173913044,0.009823,119,21,0.8936170212765957,0.053979,659,19,0.8444444444444443,0.1009,1265,18,0.8181818181818181,0.247201,3107,20,0.7826086956521738,0.500095,6255
96,2,1,20,0.9090909090909091,20,0.9090909090909091,0.001426,18,20,0.9090909090909091,0.011752,144,20,0.9090909090909091,0.051664,644,20,0.9090909090909091,0.102739,1291,19,0.8837209302325582,0.249436,3111,18,0.761904761904762,0.500015,6253
97,2,1,21,0.9130434782608696,21,0.9130434782608696,0.000992,12,21,0.9130434782608696,0.009236,116,20,0.888888888888889,0.049587,622,21,0.9130434782608696,0.101269,1267,20,0.8444444444444444,0.250988,3143,21,0.8695652173913043,0.506627,6352
98,2,1,21,0.9130434782608696,21,0.9130434782608696,0.000736,9,21,0.9130434782608696,0.011163,139,21,0.9130434782608696,0.049846,627,21,0.9130434782608696,0.106588,1333,19,0.8636363636363636,0.250798,3144,19,0.8636363636363636,0.494063,6183
99,2,1,21,0.8936170212765957,21,0.8936170212765957,0.000713,9,21,0.8936170212765957,0.010321,127,20,0.8695652173913044,0.049839,621,21,0.8936170212765957,0.100388,1247,21,0.8936170212765957,0.246646,3089,21,0.8510638297872339,0.509978,6379
100,2,1,24,0.9600000000000001,24,0.9600000000000001,0.001023,13,24,0.9600000000000001,0.010768,132,22,0.9166666666666666,0.050124,627,24,0.9600000000000001,0.103459,1297,23,0.8979591836734695,0.24539,3071,22,0.9166666666666666,0.499827,6256
101,2,1,24,0.9600000000000001,24,0.9600000000000001,0.000821,10,24,0.9600000000000001,0.010154,127,24,0.9600000000000001,0.049816,622,24,0.9600000000000001,0.102373,1271,24,0.9600000000000001,0.254635,3168,22,0.875,0.499098,6253
102,2,1,23,0.92,23,0.92,0.001077,13,23,0.92,0.009926,128,23,0.92,0.048477,603,22,0.8979591836734693,0.099485,1239,24,0.9019607843137256,0.246834,3074,21,0.8333333333333334,0.506322,6345
103,2,1,24,0.9199999999999999,24,0.9199999999999999,0.000682,9,23,0.9387755102040816,0.009545,117,23,0.8979591836734695,0.049736,621,23,0.8979591836734695,0.097642,1224,23,0.8979591836734695,0.255227,3182,22,0.8333333333333333,0.496978,6244
104,2,1,24,0.9411764705882353,24,0.9411764705882353,0.001185,15,24,0.9411764705882353,0.01087,137,24,0.9411764705882353,0.046734,579,24,0.9411764705882353,0.098661,1234,24,0.8627450980392156,0.251471,3158,24,0.9411764705882353,0.501508,6294
