fold_scene,candidate_index,n_frames,lambda,realised_f1,realised_payload
2021_08_22_22_01_17,42,202,0.0,0.987151,0.287455
2021_08_23_10_51_24,42,64,0.0,0.894023,0.287455
2021_08_23_13_17_21,42,48,0.0,0.919446,0.287455
2021_08_23_19_42_07,42,57,0.0,0.817163,0.287455
2021_09_09_19_27_35,42,459,0.0,0.743773,0.287455
2021_09_11_00_33_16,42,746,0.0,0.858642,0.024
2021_08_20_21_48_35,43,112,0.02,0.871837,0.287455
2021_08_21_17_30_41,43,157,0.02,0.893544,0.287455
2021_08_22_13_37_16,43,135,0.02,0.975367,0.287455
2021_08_22_22_01_17,43,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,43,64,0.02,0.894023,0.287455
2021_08_23_13_17_21,43,48,0.02,0.919446,0.287455
2021_08_23_19_42_07,43,57,0.02,0.817163,0.287455
2021_09_09_19_27_35,43,459,0.02,0.743773,0.287455
2021_09_11_00_33_16,43,746,0.02,0.858642,0.024
2021_08_20_21_48_35,44,112,0.05,0.854261,0.024
2021_08_21_17_30_41,44,157,0.05,0.882277,0.024
2021_08_22_13_37_16,44,135,0.05,0.971686,0.024
2021_08_22_22_01_17,44,202,0.05,0.98737,0.024
2021_08_23_10_51_24,44,64,0.05,0.886513,0.024
2021_08_23_13_17_21,44,48,0.05,0.91825,0.024
2021_08_23_19_42_07,44,57,0.05,0.800953,0.024
2021_09_09_19_27_35,44,459,0.05,0.744719,0.024
2021_09_11_00_33_16,44,746,0.05,0.858642,0.024
2021_08_20_21_48_35,45,112,0.1,0.854261,0.024
2021_08_21_17_30_41,45,157,0.1,0.882277,0.024
2021_08_22_13_37_16,45,135,0.1,0.971686,0.024
2021_08_22_22_01_17,45,202,0.1,0.98737,0.024
2021_08_23_10_51_24,45,64,0.1,0.886513,0.024
2021_08_23_13_17_21,45,48,0.1,0.91825,0.024
2021_08_23_19_42_07,45,57,0.1,0.800953,0.024
2021_09_09_19_27_35,45,459,0.1,0.744719,0.024
2021_09_11_00_33_16,45,746,0.1,0.858642,0.024
2021_08_20_21_48_35,46,112,0.2,0.854261,0.024
2021_08_21_17_30_41,46,157,0.2,0.882277,0.024
2021_08_22_13_37_16,46,135,0.2,0.971686,0.024
2021_08_22_22_01_17,46,202,0.2,0.98737,0.024
2021_08_23_10_51_24,46,64,0.2,0.886513,0.024
2021_08_23_13_17_21,46,48,0.2,0.91825,0.024
2021_08_23_19_42_07,46,57,0.2,0.800953,0.024
2021_09_09_19_27_35,46,459,0.2,0.744719,0.024
2021_09_11_00_33_16,46,746,0.2,0.858642,0.024
2021_08_20_21_48_35,47,112,0.35,0.854261,0.024
2021_08_21_17_30_41,47,157,0.35,0.882277,0.024
2021_08_22_13_37_16,47,135,0.35,0.971686,0.024
2021_08_22_22_01_17,47,202,0.35,0.98737,0.024
2021_08_23_10_51_24,47,64,0.35,0.886513,0.024
2021_08_23_13_17_21,47,48,0.35,0.91825,0.024
2021_08_23_19_42_07,47,57,0.35,0.800953,0.024
2021_09_09_19_27_35,47,459,0.35,0.744719,0.024
2021_09_11_00_33_16,47,746,0.35,0.858642,0.024
2021_08_20_21_48_35,48,112,0.5,0.854261,0.024
2021_08_21_17_30_41,48,157,0.5,0.882277,0.024
2021_08_22_13_37_16,48,135,0.5,0.971686,0.024
2021_08_22_22_01_17,48,202,0.5,0.98737,0.024
2021_08_23_10_51_24,48,64,0.5,0.886513,0.024
2021_08_23_13_17_21,48,48,0.5,0.91825,0.024
2021_08_23_19_42_07,48,57,0.5,0.800953,0.024
